name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
24th/Michigan,072,2019,3944907,21956417,17000000,153861677,538021,37139951,-,-,45859.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_072_24thMichiganAR19.pdf,7/21/1999,7/21/2022
26th/King Drive,141,2019,849312,8252097,0,-,13796,2364397,-,-,10599.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_141_26thKingAR19.pdf,1/11/2006,12/31/2030
35th/Halsted,001,2019,9723133,81264510,0,3243618,3718784,35054012,-,1400000,117931.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_001_35thHalstedAR19.pdf,1/14/1997,12/31/2021
35th/State,131,2019,1729539,19566906,0,3500000,1709832,2521566,-,-,22335.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_131_35thStateAR19.pdf,1/14/2004,12/31/2028
35th/Wallace,079,2019,1417718,10770377,0,-,1854410,6683778,-,-,17026.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_079_35thWallaceAR19.pdf,12/15/1999,12/31/2023
43rd/Cottage Grove,055,2019,3249657,40334114,0,-,4359436,13896196,-,-,40071.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_055_43rdCottageGroveAR19.pdf,7/8/1998,12/31/2022
47th/Ashland,117,2019,2224700,36749037,-,2431313,2365295,11000096,-,-,29199.00,1708002.10,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_117_47thAshlandAR19.pdf,3/27/2002,12/31/2026
47th/Halsted,121,2019,3227214,42002166,0,3950064,731527,13983390,-,1587500,38658.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_121_47thHalstedAR19.pdf,5/29/2002,12/31/2026
47th/King Drive,118,2019,8884846,102145434,0,-,2009945,27962840,-,1400000,107633.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_118_47thKingAR19.pdf,3/27/2002,12/31/2026
47th/State,136,2019,1897166,20512546,0,-,26620,13040030,-,-,22509.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_136_47thStateAR19.pdf,7/21/2004,12/31/2028
